number_of_sentences,number_of_words,average_sentence_lenght,average_word_lenght,nltk_sentiment,subjectivity,number_of_future_verbs,number_of_premise_conclusion_markers,dictionary_percentage,number_of_discourse_markers
2.0,17.0,8.5,4.235294117647059,0.0,0.0,0.0,1.0,0.7058823529411765,1
1.0,15.0,15.0,4.466666666666667,0.2481,0.75,0.0,0.0,0.2,1
34.0,745.0,21.91176470588235,5.046979865771812,0.2863,0.4405618288815009,2.0,3.0,0.8684563758389262,27
104.0,1067.0,10.259615384615385,5.02717900656045,0.18939090909090908,0.5317188970449838,0.0,2.0,0.703842549203374,25
43.0,641.0,14.906976744186046,5.110764430577223,0.033279487179487185,0.4223129251700681,1.0,2.0,0.8533541341653667,40
33.0,627.0,19.0,5.1945773524720895,0.047117241379310344,0.316668771043771,1.0,2.0,0.8070175438596491,21
49.0,723.0,14.755102040816327,4.937759336099585,-0.026929729729729717,0.40737577639751554,0.0,2.0,0.7897648686030428,33
30.0,455.0,15.166666666666666,4.5978021978021975,0.21413999999999997,0.5408512205387206,0.0,3.0,0.8373626373626374,24
54.0,732.0,13.555555555555555,4.036885245901639,0.13662954545454545,0.46203601953601947,2.0,3.0,0.8565573770491803,45
22.0,581.0,26.40909090909091,4.824440619621343,-0.009668421052631578,0.29010416666666666,1.0,3.0,0.8623063683304647,21
20.0,369.0,18.45,4.303523035230352,0.23214285714285715,0.4547524565381708,4.0,3.0,0.8482384823848238,16
18.0,278.0,15.444444444444445,4.982014388489208,-0.2489307692307692,0.4454248366013072,1.0,2.0,0.8705035971223022,9
18.0,224.0,12.444444444444445,4.700892857142857,-0.2431857142857143,0.3603174603174603,1.0,3.0,0.7723214285714286,5
49.0,1113.0,22.714285714285715,5.136567834681042,0.13471666666666668,0.4482562229437228,5.0,3.0,0.8544474393530997,54
114.0,1289.0,11.307017543859649,4.181536074476338,0.042315740740740744,0.4339685588277136,6.0,4.0,0.8145849495733126,67
12.0,234.0,19.5,4.670940170940171,-0.23844999999999997,0.3958333333333333,0.0,2.0,0.7478632478632479,9
11.0,140.0,12.727272727272727,4.45,0.08224444444444444,0.3926695526695527,1.0,2.0,0.7785714285714286,8
34.0,583.0,17.147058823529413,4.704974271012007,-0.1850967741935484,0.40152329749103943,1.0,2.0,0.79073756432247,28
75.0,1233.0,16.44,4.826439578264396,0.05117794117647059,0.35220840070237663,2.0,4.0,0.8540145985401459,56
2.0,24.0,12.0,4.833333333333333,0.1806,0.5,0.0,1.0,0.75,1
8.0,57.0,7.125,4.140350877192983,0.21921666666666664,0.6638888888888889,0.0,2.0,0.631578947368421,2
49.0,979.0,19.979591836734695,5.340143003064352,0.20632439024390242,0.373296941154084,3.0,3.0,0.856996935648621,43
6.0,57.0,9.5,5.0,0.05986666666666667,0.475,0.0,2.0,0.6666666666666666,5
2.0,17.0,8.5,4.235294117647059,0.0,0.0,0.0,1.0,0.7058823529411765,1
15.0,361.0,24.066666666666666,5.113573407202216,0.016873333333333334,0.47200000000000003,4.0,2.0,0.8642659279778393,14
23.0,363.0,15.782608695652174,4.517906336088155,0.002546666666666675,0.3538481338481338,1.0,3.0,0.8264462809917356,19
2.0,25.0,12.5,5.96,0.3454,0.9,0.0,1.0,0.08,1
58.0,749.0,12.913793103448276,3.9332443257676903,0.11710204081632652,0.46844725140179666,0.0,2.0,0.87716955941255,44
52.0,906.0,17.423076923076923,5.252759381898454,0.15213191489361705,0.43395193559827705,7.0,4.0,0.8587196467991169,38
30.0,719.0,23.966666666666665,5.242002781641168,-0.03760344827586207,0.24172791747259828,3.0,3.0,0.8400556328233658,25
23.0,200.0,8.695652173913043,4.195,0.06944499999999997,0.47301587301587306,0.0,3.0,0.845,9
38.0,477.0,12.552631578947368,4.121593291404612,0.26136000000000004,0.5128460686600222,0.0,3.0,0.870020964360587,19
5.0,62.0,12.4,4.790322580645161,0.4971,0.3333333333333333,0.0,1.0,0.7741935483870968,2
1.0,26.0,26.0,4.8076923076923075,0.0,0.5,0.0,1.0,0.5769230769230769,1
1.0,24.0,24.0,4.75,-0.9095,0.42500000000000004,0.0,1.0,0.125,1
41.0,752.0,18.341463414634145,4.597074468085107,0.0005625000000000019,0.3754081632653061,1.0,3.0,0.8683510638297872,38
2.0,17.0,8.5,4.235294117647059,0.0,0.0,0.0,1.0,0.7058823529411765,1
2.0,29.0,14.5,5.379310344827586,-0.436,0.5694444444444445,0.0,2.0,0.8275862068965517,1
46.0,610.0,13.26086956521739,4.4852459016393444,0.15619302325581397,0.4601063829787234,0.0,2.0,0.8688524590163934,30
9.0,52.0,5.777777777777778,4.480769230769231,0.0679,0.49000000000000005,0.0,1.0,0.6346153846153846,4
12.0,377.0,31.416666666666668,4.824933687002653,0.24770909090909088,0.33587121212121207,2.0,2.0,0.8275862068965517,9
10.0,219.0,21.9,4.232876712328767,-0.030669999999999985,0.3698251748251748,1.0,3.0,0.867579908675799,8
8.0,172.0,21.5,5.308139534883721,0.11055,0.316025641025641,1.0,2.0,0.7906976744186046,6
12.0,236.0,19.666666666666668,5.0423728813559325,0.12264545454545454,0.4101282051282052,2.0,2.0,0.8813559322033898,7
17.0,240.0,14.117647058823529,4.375,0.17945833333333336,0.25712121212121214,0.0,2.0,0.7416666666666667,12
103.0,1412.0,13.70873786407767,4.771246458923513,0.22964197530864197,0.38254329004329,7.0,3.0,0.8526912181303116,53
18.0,225.0,12.5,4.653333333333333,0.12533636363636366,0.39661319073083773,4.0,2.0,0.7511111111111111,10
6.0,59.0,9.833333333333334,4.322033898305085,-0.201025,0.34205128205128205,0.0,2.0,0.6779661016949152,1
12.0,83.0,6.916666666666667,4.710843373493976,0.10809999999999999,0.30648148148148147,0.0,2.0,0.5180722891566265,3
72.0,890.0,12.36111111111111,4.289887640449439,0.040114705882352955,0.48903009688723986,0.0,2.0,0.8393258426966292,40
15.0,242.0,16.133333333333333,4.731404958677686,0.1485333333333333,0.4881701631701632,2.0,3.0,0.7603305785123967,8
14.0,264.0,18.857142857142858,4.223484848484849,0.0844142857142857,0.47002164502164495,2.0,2.0,0.8787878787878788,8
181.0,2729.0,15.077348066298342,4.828508611212898,0.14792753623188407,0.4172831050228311,14.0,4.0,0.7237083180652254,108
14.0,331.0,23.642857142857142,5.20845921450151,0.18641538461538465,0.357,1.0,2.0,0.8489425981873112,12
41.0,830.0,20.24390243902439,4.749397590361446,0.28777631578947366,0.40957625360750355,0.0,3.0,0.8686746987951808,39
18.0,367.0,20.38888888888889,4.408719346049046,0.22804666666666668,0.45052429052429044,3.0,2.0,0.8365122615803815,19
2.0,25.0,12.5,5.96,0.3454,0.9,0.0,1.0,0.08,1
49.0,892.0,18.20408163265306,4.205156950672646,0.2217184210526316,0.41268939393939397,2.0,4.0,0.8721973094170403,33
1.0,28.0,28.0,3.75,0.0,0.55,0.0,2.0,0.35714285714285715,1
1.0,23.0,23.0,4.3478260869565215,-0.1027,0.05,0.0,0.0,0.43478260869565216,0
52.0,1121.0,21.557692307692307,4.5218554861730595,-0.10648431372549019,0.45161774933926835,0.0,3.0,0.9027653880463872,51
33.0,325.0,9.848484848484848,4.603076923076923,0.1159263157894737,0.5258626639061422,0.0,2.0,0.6092307692307692,21
29.0,331.0,11.413793103448276,4.353474320241692,-0.02586666666666666,0.31674876847290645,1.0,2.0,0.8429003021148036,12
9.0,198.0,22.0,4.590909090909091,0.2662333333333333,0.2914442039442039,0.0,3.0,0.8585858585858586,10
4.0,60.0,15.0,4.55,0.3182,0.5285714285714286,0.0,1.0,0.7833333333333333,2
2.0,17.0,8.5,4.235294117647059,0.0,0.0,0.0,1.0,0.7058823529411765,1
68.0,1450.0,21.323529411764707,4.78896551724138,-0.10754262295081968,0.3844976992704265,2.0,3.0,0.8744827586206897,56
75.0,804.0,10.72,4.064676616915423,0.04063731343283583,0.5188812901046943,3.0,5.0,0.8109452736318408,49
27.0,565.0,20.925925925925927,4.900884955752212,-0.25352173913043474,0.5828231292517007,1.0,3.0,0.8283185840707965,25
2.0,17.0,8.5,4.235294117647059,0.0,0.0,0.0,1.0,0.7058823529411765,1
2.0,25.0,12.5,5.96,0.3454,0.9,0.0,1.0,0.08,1
47.0,981.0,20.872340425531913,5.154943934760449,-0.030873333333333343,0.37603372434017596,5.0,4.0,0.8715596330275229,50
6.0,175.0,29.166666666666668,4.651428571428571,0.13675,0.18814102564102567,1.0,2.0,0.8457142857142858,7
11.0,208.0,18.90909090909091,4.927884615384615,0.20402727272727272,0.48642204356490076,0.0,2.0,0.7932692307692307,15
7.0,58.0,8.285714285714286,4.0,-0.068925,0.4881944444444445,0.0,2.0,0.7068965517241379,2
16.0,240.0,15.0,4.545833333333333,0.13287142857142858,0.3361111111111111,3.0,2.0,0.7666666666666667,12
1.0,23.0,23.0,4.3478260869565215,-0.1027,0.05,0.0,0.0,0.43478260869565216,0
50.0,650.0,13.0,4.436923076923077,0.023422448979591844,0.4072530864197531,8.0,3.0,0.8323076923076923,34
1.0,28.0,28.0,3.75,0.0,0.55,0.0,2.0,0.35714285714285715,1
45.0,787.0,17.488888888888887,4.93138500635324,0.019197674418604652,0.47490758424581936,0.0,4.0,0.8614993646759848,38
26.0,566.0,21.76923076923077,4.544169611307421,0.06774999999999999,0.39324761904761907,2.0,3.0,0.803886925795053,26
79.0,1117.0,14.139240506329115,4.170993733213966,0.07607285714285714,0.41021655593084133,4.0,4.0,0.8218442256042973,60
44.0,535.0,12.159090909090908,4.125233644859813,0.10977878787878788,0.49999221910986613,6.0,3.0,0.8186915887850468,30
57.0,1039.0,18.228070175438596,4.402309913378248,0.17204339622641512,0.4024399745553592,5.0,4.0,0.8479307025986526,56
34.0,363.0,10.676470588235293,4.460055096418733,0.038159090909090906,0.5783271021907386,0.0,2.0,0.6639118457300276,22
31.0,590.0,19.032258064516128,4.871186440677966,-0.09369130434782609,0.47459876543209867,0.0,4.0,0.8576271186440678,24
6.0,71.0,11.833333333333334,4.352112676056338,0.3734,0.197979797979798,0.0,2.0,0.6619718309859155,6
10.0,155.0,15.5,5.15483870967742,0.10423750000000001,0.46481481481481485,6.0,2.0,0.7741935483870968,7
63.0,1079.0,17.126984126984127,4.4967562557924,0.17664200000000002,0.510867303992304,4.0,4.0,0.8285449490268767,46
20.0,530.0,26.5,4.652830188679245,0.1700666666666667,0.39154265873015875,1.0,3.0,0.8,19
70.0,1068.0,15.257142857142858,4.462546816479401,0.06945178571428572,0.4464906621156621,5.0,4.0,0.8380149812734082,50
5.0,95.0,19.0,5.252631578947368,0.1758,0.3404607297464439,0.0,2.0,0.8421052631578947,6
1.0,28.0,28.0,3.75,0.0,0.55,0.0,2.0,0.35714285714285715,1
2.0,25.0,12.5,5.96,0.3454,0.9,0.0,1.0,0.08,1
1.0,23.0,23.0,4.3478260869565215,-0.1027,0.05,0.0,0.0,0.43478260869565216,0
2.0,17.0,8.5,4.235294117647059,0.0,0.0,0.0,1.0,0.7058823529411765,1
25.0,612.0,24.48,4.985294117647059,0.11013043478260867,0.3425633889919604,1.0,3.0,0.7924836601307189,22
15.0,318.0,21.2,4.814465408805032,-0.08221111111111111,0.4731481481481481,1.0,2.0,0.7924528301886793,12
60.0,1235.0,20.583333333333332,4.745748987854251,0.3301576271186441,0.48298451742507664,1.0,4.0,0.8834008097165992,54
